"FileNumber","CommitteeType","Committee","CandidateName","ExpenditureCode","Name","Address","City","State","Zip","Occupation","OfficeSought","ExpenditureType","Description","Purpose","Amount","Expenditure_Date","Amended"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Bohacek for Senate/Mailings","23455.2800","2016-11-01 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Charbonneau for Senate/Mailing","9391.6800","2016-10-26 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Charbonneau for Senate/Mailing","14196.8200","2016-10-18 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Charbonneau for Senate/Mailing","18580.9600","2016-11-09 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Doriot for Senate/Mailling","10349.1000","2016-10-18 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Doriot for Senate/Mailling","10349.1000","2016-10-24 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Glick for Senate/Mailing","10130.3700","2016-10-31 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Koch for Senate/Mailing","9994.9500","2016-10-24 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Young for Senate/Mailing","9395.8800","2016-12-06 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Gridiron Communications LLC","PO Box 1308","Granger","IN","46530","","","Direct - Contributions","","In-Kind/Young for Senate/Mailing","24392.6200","2016-11-09 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Harcourt Industries, Inc.","7765 S. 175 W","Milroy","IN","46156","","","Direct - Contributions","","In-Kind/Friends of Ed Yanos/Mailing","1083.5900","2016-11-17 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Harcourt Industries, Inc.","7765 S. 175 W","Milroy","IN","46156","","","Direct - Contributions","","In-Kind/Sandlin for Senate/Mailing","3027.9100","2016-10-21 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Harcourt Industries, Inc.","7765 S. 175 W","Milroy","IN","46156","","","Direct - Contributions","","In-Kind/Sandlin for Senate/Mailing","3469.8800","2016-10-27 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Harcourt Industries, Inc.","7765 S. 175 W","Milroy","IN","46156","","","Direct - Contributions","","In-Kind/Sandlin for Senate/Mailings","5639.8200","2016-11-17 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Midwest Communications Group, LLC","PO Box 441","Franklin","IN","46131","","","Direct - Contributions","","In-Kind/Crider for Senate/Mailing","11943.3700","2016-10-31 00:00:00","0"
"17","Regular Party","Indiana Republican State Committee, Inc","","Contributions","Pitney Bowes","2225 American Drive","Neenah","WI","54956","","","Direct - Contributions","","In-Kind/Curtis Hill for AG/Postage","35856.4400","2016-12-08 00:00:00","0"
